,_id,deleted,endTime,exercise,initialStartTime,metric,removed,rpe,setID,setNumber,startTime,tags,userID,weight,workoutID
25316,372bc067-a123-4e0c-ba8b-2eb340cebab7,0.0,,bench,2018-05-09T01:32:40.793Z,kgs,0.0,< 5.5,372bc067-a123-4e0c-ba8b-2eb340cebab7,10.0,,"['harr', '5.5 rpe']",5aa35456880e87b3f32ddf7c,55,b7248c31-b8e1-4d51-9201-536ac8536e73
25355,373d769b-c7ea-4a82-9a3a-1a54a8ffb175,0.0,,bench,2018-05-25T00:51:34.240Z,kgs,0.0,6.5,373d769b-c7ea-4a82-9a3a-1a54a8ffb175,22.0,,['mimi '],5aa35456880e87b3f32ddf7c,40,7e166282-3e2e-4b31-b419-8f70734fc65e
25568,37ba231d-55e0-45e4-bd34-e57316f30d2b,0.0,,bench,2018-05-17T23:19:05.213Z,kgs,0.0,< 5.5,37ba231d-55e0-45e4-bd34-e57316f30d2b,16.0,,"['chase', '5 rpe']",5aa35456880e87b3f32ddf7c,75,069415c7-5299-4dd3-a548-e201d5fa7c81
26001,38b9f2be-1375-4674-8316-5011f076ed24,0.0,,squat,2018-05-24T23:37:59.264Z,kgs,0.0,9.5,38b9f2be-1375-4674-8316-5011f076ed24,10.0,,['matt'],5aa35456880e87b3f32ddf7c,182.5,7e166282-3e2e-4b31-b419-8f70734fc65e
26074,38def1dd-7017-457d-85e1-0f7be372f846,0.0,,squat,2018-05-16T00:43:46.975Z,kgs,0.0,8,38def1dd-7017-457d-85e1-0f7be372f846,43.0,,['harr'],5aa35456880e87b3f32ddf7c,105,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
26101,38eae3d0-ed6e-4ae6-a6ce-6a09f73f6cb8,0.0,,bench,2018-05-25T00:38:36.651Z,kgs,0.0,6,38eae3d0-ed6e-4ae6-a6ce-6a09f73f6cb8,19.0,,['mimi'],5aa35456880e87b3f32ddf7c,35,7e166282-3e2e-4b31-b419-8f70734fc65e
26696,3a29d229-285a-4152-87fe-7c51ee6b7494,0.0,,bench,2018-05-16T17:38:31.142Z,kgs,0.0,< 5.5,3a29d229-285a-4152-87fe-7c51ee6b7494,19.0,,"['mimi ', '5 rpe']",5aa35456880e87b3f32ddf7c,32.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
27109,3b003881-2dc3-448c-b2f2-66ac346b91e9,0.0,,bench,2018-05-19T16:59:54.176Z,kgs,0.0,7.5,3b003881-2dc3-448c-b2f2-66ac346b91e9,48.0,,['elisa'],5aa35456880e87b3f32ddf7c,42.5,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
27395,3b9dbfa5-d505-4449-9033-f0438095a484,0.0,,squat,2018-05-18T17:59:15.129Z,kgs,0.0,7,3b9dbfa5-d505-4449-9033-f0438095a484,4.0,,['adam'],5aa35456880e87b3f32ddf7c,110,f9beacc0-676b-49f5-8f0b-e5b397918574
27609,3c181534-92ae-412c-be95-24194f5ee5e0,0.0,,squat,2018-05-10T22:37:09.944Z,kgs,0.0,10,3c181534-92ae-412c-be95-24194f5ee5e0,5.0,,['elisa'],5aa35456880e87b3f32ddf7c,105,0ebb7ef9-06c9-4a3f-aee6-45c16d65e3f5
27624,3c203078-9f3d-4559-935c-edcf4e2f8fbe,0.0,,squat,2018-05-10T00:16:41.766Z,kgs,0.0,< 5.5,3c203078-9f3d-4559-935c-edcf4e2f8fbe,1.0,,[],58ace5bd6ca711fcd8cb7b39,140,1b9a1147-0192-4db3-ae90-e15fc0cdafbe
27976,3ce492ee-d6aa-47e5-9493-0394925a452b,0.0,,bench,2018-05-23T23:58:59.217Z,kgs,0.0,10,3ce492ee-d6aa-47e5-9493-0394925a452b,11.0,,"['chase', 'second rep was split in two']",5aa35456880e87b3f32ddf7c,100,ea75c10c-b19e-4984-8b6f-66a0227d0674
28071,3d19f97a-e064-4769-ade6-661031646719,0.0,,bench,2018-05-17T23:28:19.453Z,kgs,0.0,6.5,3d19f97a-e064-4769-ade6-661031646719,19.0,,['elisa'],5aa35456880e87b3f32ddf7c,42.5,069415c7-5299-4dd3-a548-e201d5fa7c81
28089,3d21570e-27ea-47ce-bebc-08e2e61625f5,0.0,,bench,2018-05-13T19:17:30.738Z,kgs,0.0,< 5.5,3d21570e-27ea-47ce-bebc-08e2e61625f5,7.0,,"['chase', '2 rpe']",5aa35456880e87b3f32ddf7c,52,5fbdf0dd-adc7-4221-9ced-8514e5ee9d04
28327,3da3166d-226d-4142-84c1-6bbb4022bb89,0.0,,squat,2018-05-12T16:43:13.055Z,kgs,0.0,9,3da3166d-226d-4142-84c1-6bbb4022bb89,17.0,,['elisa'],5aa35456880e87b3f32ddf7c,92,bafb2bf6-d950-4ac8-a254-42f60e9eebe4
29490,40331e2a-9fc3-49e1-993e-d353ccefdf22,1.0,,,2018-05-08T22:09:50.371Z,kgs,0.0,,40331e2a-9fc3-49e1-993e-d353ccefdf22,1.0,,[],58ace5bd6ca711fcd8cb7b39,,dc7cace1-274d-487c-ba35-7bc957b7097b
29793,40db2b42-e560-4ade-9cd5-da3f56fecaf0,0.0,,squat,2018-05-17T23:00:09.524Z,kgs,0.0,7,40db2b42-e560-4ade-9cd5-da3f56fecaf0,13.0,,['matt'],5aa35456880e87b3f32ddf7c,175,069415c7-5299-4dd3-a548-e201d5fa7c81
29842,40f71abc-3136-42a1-b78f-8083e1b320b9,0.0,,squat,2018-05-18T00:25:53.445Z,kgs,0.0,< 5.5,40f71abc-3136-42a1-b78f-8083e1b320b9,30.0,,"['harr', '5 rpe']",5aa35456880e87b3f32ddf7c,100,069415c7-5299-4dd3-a548-e201d5fa7c81
30108,4197d38e-9076-4148-a20e-85989071cfb8,0.0,,bench,2018-05-09T01:37:47.019Z,kgs,0.0,< 5.5,4197d38e-9076-4148-a20e-85989071cfb8,11.0,,"['harr', '5.5 rpe']",5aa35456880e87b3f32ddf7c,60,b7248c31-b8e1-4d51-9201-536ac8536e73
30209,41dcadf6-3419-4364-ac6b-908ea9725e7f,0.0,,bench,2018-05-11T01:54:18.090Z,kgs,0.0,6,41dcadf6-3419-4364-ac6b-908ea9725e7f,17.0,,['harr'],5aa35456880e87b3f32ddf7c,67.5,0731b594-a678-4294-9b68-9285f8a1f0a5
30651,42f6d1a2-c458-4c91-99b1-b3d1e8e0285f,0.0,,squat,2018-05-23T00:30:21.296Z,kgs,0.0,8,42f6d1a2-c458-4c91-99b1-b3d1e8e0285f,16.0,,['mimi'],5aa35456880e87b3f32ddf7c,87.5,0e6dd975-b54d-4e4d-ab2f-d240105f4697
31185,440914d6-9bab-4aba-a042-af88c47943fc,0.0,,squat,2018-05-21T22:48:19.454Z,kgs,0.0,6.5,440914d6-9bab-4aba-a042-af88c47943fc,3.0,,['chase'],5aa35456880e87b3f32ddf7c,125,1ba53e08-ded3-468b-8916-ba110f3ccb76
